[Tue Jun 27 05:46:37.853865 2023] [proxy_fcgi:error] [pid 92:tid 281471805681952] [client 172.19.0.1:52106] AH01071: Got error 'PHP message: PHP Warning:  include(/var/www/project/generated/code/Magento/MediaStorage/Model/File/Storage/SynchronizationFactory.php): failed to open stream: Operation not permitted in /var/www/project/vendor/magento/framework/Code/Generator/Io.php on line 160PHP message: PHP Warning:  include(): Failed opening '/var/www/project/generated/code/Magento/MediaStorage/Model/File/Storage/SynchronizationFactory.php' for inclusion (include_path='/var/www/project/generated/code:/var/www/project/generated/code:/var/www/project/vendor/magento/zendframework1/library:.:/usr/local/lib/php') in /var/www/project/vendor/magento/framework/Code/Generator/Io.php on line 160', referer: http://ecostore.docker:16180/shop/
[Wed Jul 05 04:47:45.729506 2023] [proxy_fcgi:error] [pid 91:tid 281471671464224] [client 172.19.0.1:46434] AH01071: Got error 'PHP message: PHP Fatal error:  Allowed memory size of 792723456 bytes exhausted (tried to allocate 534781952 bytes) in /var/www/project/app/code/Overdose/CountryRedirect/Block/Country/Popup.php on line 182PHP message: PHP Fatal error:  Allowed memory size of 792723456 bytes exhausted (tried to allocate 534769664 bytes) in Unknown on line 0', referer: http://ecostore.docker:16180/shop/
[Thu Jul 06 10:50:43.497334 2023] [proxy_fcgi:error] [pid 8:tid 281472652734752] [client 172.19.0.1:59530] AH01071: Got error 'PHP message: PHP Fatal error:  Allowed memory size of 792723456 bytes exhausted (tried to allocate 534786048 bytes) in /var/www/project/var/view_preprocessed/pub/static/app/code/Ecostore/Changes/view/frontend/templates/product/filter.phtml on line 1PHP message: PHP Fatal error:  Allowed memory size of 792723456 bytes exhausted (tried to allocate 534773760 bytes) in Unknown on line 0', referer: http://ecostore.docker:16180/shop/
[Thu Jul 06 10:51:05.064231 2023] [proxy_fcgi:error] [pid 9:tid 281473256714528] [client 172.19.0.1:57446] AH01071: Got error 'PHP message: PHP Fatal error:  Allowed memory size of 792723456 bytes exhausted (tried to allocate 518000640 bytes) in /var/www/project/var/view_preprocessed/pub/static/app/code/Ecostore/Changes/view/frontend/templates/product/filter.phtml on line 1PHP message: PHP Fatal error:  Allowed memory size of 792723456 bytes exhausted (tried to allocate 517988352 bytes) in Unknown on line 0', referer: http://ecostore.docker:16180/shop/
[Thu Jul 06 10:53:02.461162 2023] [proxy_fcgi:error] [pid 8:tid 281473030549792] [client 172.19.0.1:33682] AH01071: Got error 'PHP message: PHP Fatal error:  Allowed memory size of 792723456 bytes exhausted (tried to allocate 635445248 bytes) in /var/www/project/var/view_preprocessed/pub/static/app/code/Ecostore/Changes/view/frontend/templates/product/filter.phtml on line 1PHP message: PHP Fatal error:  Allowed memory size of 792723456 bytes exhausted (tried to allocate 635432960 bytes) in Unknown on line 0', referer: http://ecostore.docker:16180/shop/
[Thu Jul 06 11:22:07.612341 2023] [proxy_fcgi:error] [pid 9:tid 281473005187360] [client 172.19.0.1:51032] AH01071: Got error 'PHP message: PHP Fatal error:  Allowed memory size of 792723456 bytes exhausted (tried to allocate 677396480 bytes) in /var/www/project/var/view_preprocessed/pub/static/app/code/Ecostore/Changes/view/frontend/templates/product/filter.phtml on line 1PHP message: PHP Fatal error:  Allowed memory size of 792723456 bytes exhausted (tried to allocate 677384192 bytes) in Unknown on line 0', referer: http://ecostore.docker:16180/shop/
[Thu Aug 03 23:40:41.537814 2023] [proxy_fcgi:error] [pid 92:tid 281472384299296] [client 172.19.0.1:45422] AH01071: Got error 'PHP message: PHP Warning:  include(/var/www/project/generated/code/Magento/Catalog/Ui/DataProvider/Product/ProductCollectionFactory.php): failed to open stream: Operation not permitted in /var/www/project/vendor/magento/framework/Code/Generator/Io.php on line 160PHP message: PHP Warning:  include(): Failed opening '/var/www/project/generated/code/Magento/Catalog/Ui/DataProvider/Product/ProductCollectionFactory.php' for inclusion (include_path='/var/www/project/generated/code:/var/www/project/generated/code:/var/www/project/vendor/magento/zendframework1/library:.:/usr/local/lib/php') in /var/www/project/vendor/magento/framework/Code/Generator/Io.php on line 160PHP message: PHP Warning:  include(/var/www/project/generated/code/Magento/RemoteStorage/Driver/Adapter/MetadataProviderInterfaceFactory.php): failed to open stream: Operation not permitted in /var/www/project/vendor/composer/ClassLoader.php on line 444PHP message: PHP Warning:  include(): Failed opening '/var/www/project/generated/code/Magento//RemoteStorage/Driver/Adapter/MetadataProviderInterfaceFactory.php' for inclusion (include_path='/var/www/project/generated/code:/var/www/project/generated/code:/var/www/project/vendor/magento/zendframework1/library:.:/usr/local/lib/php') in /var/www/project/vendor/composer/ClassLoader.php on line 444PHP message: PHP Warning:  include(/var/www/project/generated/code/Magento/MediaStorage/Model/File/Storage/ConfigFactory.php): failed to open stream: Operation not permitted in /var/www/project/vendor/magento/framework/Code/Generator/Io.php on line 160PHP message: PHP Warning:  include(): Failed opening '/var/www/project/generated/code/Magento/MediaStorage/Model/File/Storage/ConfigFactory.php' for inclusion (include_path='/var/www/project/generated/code:/var/www/project/generated/code:/var/www/project/vendor/magento/zendframework1/library:.:/usr/local/lib/php') in /var/www/project/vendor/magento/framework/Code/Generator/Io.php on line 160', referer: http://ecostore.docker:16180/
[Thu Aug 03 23:40:41.610600 2023] [proxy_fcgi:error] [pid 9:tid 281473722327328] [client 172.19.0.1:45478] AH01071: Got error 'PHP message: PHP Warning:  include(/var/www/project/generated/code/Magento/CatalogSearch/Model/ResourceModel/Fulltext/Collection/SearchCriteriaResolverFactory.php): failed to open stream: Operation not permitted in /var/www/project/vendor/magento/framework/Code/Generator/Io.php on line 160PHP message: PHP Warning:  include(): Failed opening '/var/www/project/generated/code/Magento/CatalogSearch/Model/ResourceModel/Fulltext/Collection/SearchCriteriaResolverFactory.php' for inclusion (include_path='/var/www/project/generated/code:/var/www/project/generated/code:/var/www/project/vendor/magento/zendframework1/library:.:/usr/local/lib/php') in /var/www/project/vendor/magento/framework/Code/Generator/Io.php on line 160PHP message: PHP Warning:  include(/var/www/project/generated/code/Magento/Ui/Config/ConverterInterface/Proxy.php): failed to open stream: Operation not permitted in /var/www/project/vendor/magento/framework/Code/Generator/Io.php on line 160PHP message: PHP Warning:  include(): Failed opening '/var/www/project/generated/code/Magento/Ui/Config/ConverterInterface/Proxy.php' for inclusion (include_path='/var/www/project/generated/code:/var/www/project/generated/code:/var/www/project/vendor/magento/zendframework1/library:.:/usr/local/lib/php') in /var/www/project/vendor/magento/framework/Code/Generator/Io.php on line 160PHP message: PHP Warning:  include(/var/www/project/generated/code/Magento/MediaStorage/Model/File/Storage/Response/Interceptor.php): failed to open stream: Operation not permitted in /var/www/project/vendor/magento/framework/Code/Generator/Io.php on line 160PHP message: PHP Warning:  include(): Failed opening '/var/www/project/generated/code/Magento/MediaStorage/Model/File/Storage/Response/Interceptor.php' for inclusion (include_path='/var/www/project/generated/code:/var/www/project/generated/code:/var/www/project/vendor/magento/zendframework1/library:.:/usr/local/lib/php') in /var/www/project/vendor/magento/framework/Code/Generator/Io.php on line 160', referer: http://ecostore.docker:16180/
[Thu Aug 03 23:40:41.612840 2023] [proxy_fcgi:error] [pid 10:tid 281473449586976] [client 172.19.0.1:45462] AH01071: Got error 'PHP message: PHP Warning:  include(/var/www/project/generated/code/Magento/Framework/App/Config/PostProcessorComposite/Proxy.php): failed to open stream: Operation not permitted in /var/www/project/vendor/magento/framework/Code/Generator/Io.php on line 160PHP message: PHP Warning:  include(): Failed opening '/var/www/project/generated/code/Magento/Framework/App/Config/PostProcessorComposite/Proxy.php' for inclusion (include_path='/var/www/project/generated/code:/var/www/project/generated/code:/var/www/project/vendor/magento/zendframework1/library:.:/usr/local/lib/php') in /var/www/project/vendor/magento/framework/Code/Generator/Io.php on line 160PHP message: PHP Warning:  include(/var/www/project/generated/code/Magento/MediaStorage/Model/File/Storage/Response/Interceptor.php): failed to open stream: Operation not permitted in /var/www/project/vendor/magento/framework/Code/Generator/Io.php on line 160PHP message: PHP Warning:  include(): Failed opening '/var/www/project/generated/code/Magento/MediaStorage/Model/File/Storage/Response/Interceptor.php' for inclusion (include_path='/var/www/project/generated/code:/var/www/project/generated/code:/var/www/project/vendor/magento/zendframework1/library:.:/usr/local/lib/php') in /var/www/project/vendor/magento/framework/Code/Generator/Io.php on line 160', referer: http://ecostore.docker:16180/
[Thu Aug 03 23:40:41.734778 2023] [proxy_fcgi:error] [pid 92:tid 281472392753440] [client 172.19.0.1:45410] AH01071: Got error 'PHP message: PHP Warning:  include(/var/www/project/generated/code/Magento/Store/Model/ResourceModel/Website/Interceptor.php): failed to open stream: Operation not permitted in /var/www/project/vendor/magento/framework/Code/Generator/Io.php on line 160PHP message: PHP Warning:  include(): Failed opening '/var/www/project/generated/code/Magento/Store/Model/ResourceModel/Website/Interceptor.php' for inclusion (include_path='/var/www/project/generated/code:/var/www/project/generated/code:/var/www/project/vendor/magento/zendframework1/library:.:/usr/local/lib/php') in /var/www/project/vendor/magento/framework/Code/Generator/Io.php on line 160', referer: http://ecostore.docker:16180/
[Thu Aug 03 23:40:43.848266 2023] [proxy_fcgi:error] [pid 8:tid 281472459862304] [client 172.19.0.1:45438] AH01071: Got error 'PHP message: PHP Warning:  include(/var/www/project/generated/code/Magento/Framework/View/Model/Layout/Update/ValidatorFactory.php): failed to open stream: Operation not permitted in /var/www/project/vendor/magento/framework/Code/Generator/Io.php on line 160PHP message: PHP Warning:  include(): Failed opening '/var/www/project/generated/code/Magento/Framework/View/Model/Layout/Update/ValidatorFactory.php' for inclusion (include_path='/var/www/project/generated/code:/var/www/project/generated/code:/var/www/project/vendor/magento/zendframework1/library:.:/usr/local/lib/php') in /var/www/project/vendor/magento/framework/Code/Generator/Io.php on line 160PHP message: PHP Warning:  include(/var/www/project/generated/code/Magento/CatalogSearch/Model/ResourceModel/Fulltext/Collection/SearchResultApplierFactory.php): failed to open stream: Operation not permitted in /var/www/project/vendor/magento/framework/Code/Generator/Io.php on line 160PHP message: PHP Warning:  include(): Failed opening '/var/www/project/generated/code/Magento/CatalogSearch/Model/ResourceModel/Fulltext/Collection/SearchResultApplierFactory.php' for inclusion (include_path='/var/www/project/generated/code:/var/www/project/generated/code:/var/www/project/vendor/magento/zendframework1/library:.:/usr/local/lib/php') in /var/www/project/vendor/magento/framework/Code/Generator/Io.php on line 160PHP message: PHP Warning:  include(/var/www/project/generated/code/Magento/Framework/App/ReinitableConfig/Interceptor.php): failed to open stream: Operation not permitted in /var/www/project/vendor/magento/framework/Code/Generator/Io.php on line 160PHP message: PHP Warning:  include(): Failed opening '/var/www/project/generated/code/Magento/Framework/App/ReinitableConfig/Interceptor.php' for inclusion (include_path='/var/www/project/generated/code:/var/www/project/generated/code:/var/www/project/vendor/magento/zendframework1/library:.:/usr/local/lib/php') in /var/www/project/vendor/magento/framework/Code/Generator/Io.php on line 160', referer: http://ecostore.docker:16180/
